Intructions,Responses
What leads to Barbie and Ken's brief arrest?,Barbie punches a man for groping her.
Who does Barbie ultimately receive help from to escape Mattel's capture?,Barbie receives help from Gloria and Sasha.
What does Barbie ultimately decide to do at the end of the movie?,Barbie decides to become human and return to the real world.
What does Barbie do after being punched?,Barbie becomes depressed.
Who helps Barbie regain her self-confidence?,Gloria gives Barbie a speech about society's conflicting expectations of women.
What happens when Barbie and Ken apologize to each other?,They acknowledge their mistakes and Ken bemoans his lack of purpose without Barbie.
What does Barbie decide to do at the end of the movie?,Barbie decides to become human and return to the real world.
Who does Barbie visit at the end of the movie?,"Barbie visits the spirit of Ruth Handler, Mattel co-founder and creator of the Barbie doll."
Describe the matriarchal society in Barbieland.,"The society in Barbieland is matriarchal, with Barbies holding prestigious jobs in science, politics, media, and other fields while the Kens spend their days playing at the beach."
What happens to Barbie overnight at the dance party?,"Barbie is suddenly stricken with worries about mortality and develops bad breath, cellulite, and flat feet."
What does Weird Barbie tell Barbie she must do to cure her afflictions?,Weird Barbie tells Barbie she must find the child playing with her in the real world.
How does Barbie's owner Sasha feel about her Barbie dolls?,Sasha criticizes Barbie for promoting unrealistic beauty standards.
What happens when Barbie returns to Barbieland with Gloria and Sasha's help?,Barbie and her allies manage to deprogram the Barbies from their indoctrination and regain control of Barbieland.
How does Barbie's transformation affect her life?,"Barbie's transformation leads to her experiencing systemic oppression and a loss of her perfect image, but it also helps her gain a better understanding of herself and society."
Why does Barbie seek out Weird Barbie?,Barbie seeks out Weird Barbie to find a cure for her sudden afflictions and to learn more about herself.
What happens when Barbie and Ken arrive at Venice Beach?,"Barbie punches a man for groping her, leading to their brief arrest and Mattel's CEO ordering their recapture."
What is Gloria's role in Barbie's journey?,Gloria inadvertently caused Barbie's existential crisis and later helps her escape from Mattel's control and regain her self-confidence.
What is the ultimate goal of the Barbies after their transformation?,"The Barbies aim to create a more equal and inclusive society, where all individuals, including the Kens and discontinued dolls, are treated with respect and given equal opportunities."
What does Barbie do when she is stricken with worries about mortality?,"She seeks out Weird Barbie, a disfigured doll, who tells her she must find the child playing with her in the real world to cure her afflictions."
Who joins Barbie in her search for a cure?,"Ken stows away in her convertible to join her, to which Barbie reluctantly agrees."
What happens when Barbie and Ken arrive at Venice Beach?,"Barbie punches a man for groping her, leading to her and Ken's brief arrest."
What happens when Barbie and Ken return to Barbieland?,The Barbies have now experienced systemic oppression for themselves and they resolve to rectify the faults of their previous society.
What does Barbie do when she meets the spirit of Ruth Handler?,"Barbie decides to become human and return to the real world and is bidden goodbye by the Barbies, Kens, and Mattel executives."
What happens to Barbie at the dance party?,"Barbie is suddenly stricken with worries about mortality and develops bad breath, cellulite, and flat feet overnight."
What does Weird Barbie tell Barbie to do?,Weird Barbie tells Barbie that she must find the child playing with her in the real world to cure her afflictions.
What happens when Barbie and Ken arrive at Venice Beach?,Barbie punches a man for groping her and they are briefly arrested.
What happens when Mattel's CEO orders Barbie and Ken to be recaptured?,"Barbie tracks down her owner Sasha, who criticizes her for promoting unrealistic beauty standards."
How do Barbie and the other dolls resolve the faults of their previous society?,"They manipulate the Kens into fighting among themselves, distracting them from enshrining male superiority into Barbieland's constitution, and emphasizing better treatment of all outcasts."
"At the dance party, Barbie develops bad breath, cellulite, and flat feet overnight. How does she plan to cure these afflictions?","Barbie seeks out Weird Barbie, a disfigured doll, who tells her she must find the child playing with her in the real world to cure her afflictions."
Who does Barbie enlist to help her on her journey to find the child playing with her in the real world?,"Barbie enlists the help of Ken, who stows away in her convertible."
What is the name of Barbie's owner in the real world?,Barbie's owner in the real world is a teenage girl named Sasha.
What causes Barbie's existential crisis and who is responsible for it?,"Barbie's existential crisis is caused by her owner's mother, Gloria, who began playing with Sasha's old Barbie toys."
What is the name of the matriarchal society where Barbie and her friends reside?,The name of the society is Barbieland.
"What causes Barbie to develop bad breath, cellulite, and flat feet?",Barbie's existential crisis about mortality causes her to develop these symptoms.
Who tells Barbie that she must find the child playing with her in the real world to cure her afflictions?,"Weird Barbie, a disfigured doll, tells Barbie this."
What happens when Barbie is taken back to Barbieland by Mattel executives?,"Barbie, with the help of Gloria and Sasha, escapes from the executives and returns to Barbieland."
Who encourages Barbie to find an autonomous identity and how does she find her identity?,"Gloria encourages Barbie to find her own identity and she finds it by meeting with the spirit of Ruth Handler, the creator of the Barbie doll."
What is the name of the Barbie's new name in the real world?,Barbara Handler
Who does Barbie seek out for help after being struck with worries about mortality?,Weird Barbie
What does Barbie develop overnight that disrupts her usual routines?,"bad breath, cellulite, and flat feet"
What job does Ken take on after learning about patriarchy?,persuading other Kens to take over and indoctrinating the Barbies into submissive roles
Who convinces Barbie to return to the real world and become human?,"the spirit of Ruth Handler, Mattel co-founder and creator of the Barbie doll"
What did Barbie develop overnight?,"Barbie developed bad breath, cellulite, and flat feet."
What did Weird Barbie tell Barbie to do?,Weird Barbie told Barbie to find the child playing with her in the real world to cure her afflictions.
Who joins Barbie on her journey to find the child?,Ken stows away in Barbie's convertible to join her.
What happens to Barbie and Ken when they arrive at Venice Beach?,"Barbie punches a man for groping her, leading to her and Ken's brief arrest."
Who helps deprogram the Barbies from their indoctrination?,"Gloria's speech, with the assistance of Sasha, Weird Barbie, Allan, and the discontinued dolls, deprograms the Barbies."
What does Barbie seek out from Weird Barbie?,Barbie seeks out a disfigured doll for advice on curing her afflictions.
What is the name of Barbie's owner?,Barbie's owner is a teenage girl named Sasha.
What happens when Barbie and Ken arrive at Venice Beach?,Barbie punches a man and they are briefly arrested.
What causes Barbie's existential crisis?,"Barbie's crisis is caused by Gloria, a Mattel employee and Sasha's mother, playing with Sasha's old Barbie toys."
What do the Barbies resolve to do after experiencing systemic oppression?,The Barbies resolve to rectify the faults of their previous society and emphasize better treatment of all outcasts.
What did Barbie become worried about during the dance party?,Barbie becomes worried about mortality during the dance party.
Who does Barbie seek out to help her with her afflictions?,"Barbie seeks out Weird Barbie, a disfigured doll, to help her with her afflictions."
How does Ken feel after learning about patriarchy?,Ken feels respected for the first time after learning about patriarchy.
What does Gloria's speech to Barbie and the other dolls accomplish?,"Gloria's speech deprograms the Barbies from their indoctrination and manipulates the Kens into fighting among themselves, ultimately leading to the Barbies regaining power and resolving to rectify the faults of their previous society."
Who does Barbie meet with before deciding to become human and return to the real world?,"Barbie meets with the spirit of Ruth Handler, Mattel co-founder and creator of the Barbie doll, before deciding to become human and return to the real world."
Where does the movie take place?,"The movie takes place in Barbieland, a matriarchal society."
What jobs do the Barbies hold in Barbieland?,"The Barbies hold prestigious jobs in science, politics, media, and other fields in Barbieland."
What causes Barbie's existential crisis?,"Barbie's existential crisis is caused by Gloria, a Mattel employee and the mother of Sasha, who began playing with Sasha's old Barbie toys."
Who helps Barbie escape from Mattel's executives?,Gloria and Sasha help Barbie escape from Mattel's executives.
What message does Gloria's speech convey to the Barbies?,"Gloria's speech conveys the message of society's conflicting expectations of women, restoring Barbie's self-confidence."
Who does Barbie rebuff in favor of other activities and female friendships?,Barbie rebuffs Ken in favor of other activities and female friendships.
What happens to Barbie overnight at the dance party?,"Barbie develops bad breath, cellulite, and flat feet overnight at the dance party."
Who does Barbie seek out for help with her afflictions?,Barbie seeks out Weird Barbie for help with her afflictions.
What does Barbie do when she arrives at Venice Beach?,Barbie punches a man for groping her when she arrives at Venice Beach.
Who helps Barbie and the other dolls deprogram from their indoctrination?,"Sasha, Weird Barbie, Allan, and the discontinued dolls help Barbie and the other dolls deprogram from their indoctrination."
"What happens to Barbie after she develops bad breath, cellulite, and flat feet?","Barbie seeks out Weird Barbie, a disfigured doll, who tells her she must find the child playing with her in the real world to cure her afflictions."
Who does Barbie encounter when she arrives at Venice Beach?,"Barbie punches a man for groping her, leading to her and Ken's brief arrest."
Why does Barbie's owner Sasha criticize her?,Sasha criticizes her for encouraging unrealistic beauty standards.
What happens to the Barbies and Kens when they are indoctrinated into submissive roles?,The Barbies become depressed and the Kens feel respected for the first time.
Who helps deprogram the Barbies from their indoctrination?,"With the assistance of Sasha, Weird Barbie, Allan, and the discontinued dolls, Gloria's speech deprograms the Barbies."
What does Barbie realize at the dance party?,Barbie realizes her mortality at the dance party.
Who does Barbie seek out for advice?,Barbie seeks out Weird Barbie for advice.
Why does Barbie go to Venice Beach?,Barbie goes to Venice Beach to find the child playing with her in the real world.
What happens to the Barbies when they return to Barbieland?,The Barbies are indoctrinated into submissive roles upon returning to Barbieland.
Who helps Barbie regain her self-confidence?,Gloria gives a speech that restores Barbie's self-confidence.
Who does Beach Ken spend his days with?,Beach Ken spends his days with Barbie.
What happens to Barbie at the dance party?,Barbie is suddenly stricken with worries about mortality.
Where does Barbie travel with Ken to find a cure for her afflictions?,Barbie travels to Venice Beach with Ken to find a cure for her afflictions.
Who causes Barbie's existential crisis?,"Gloria, a Mattel employee and Sasha's mother, inadvertently caused Barbie's existential crisis."
Who helps Barbie deprogram the other Barbies from their indoctrination?,"Sasha, Weird Barbie, Allan, and the discontinued dolls help Barbie deprogram the other Barbies."
What happens to Barbie after she becomes depressed?,Barbie becomes depressed after she fails to convince everyone in Barbieland to return to their original roles.
Why does Mattel try to capture Barbie?,Mattel tries to capture Barbie after she becomes depressed and is considered a defective doll.
What leads to Barbie's existential crisis?,"Barbie's existential crisis is caused by Gloria, a Mattel employee, who begins playing with Sasha's old Barbie toys."
"What does Barbie do after she is bidden goodbye by the Barbies, Kens, and Mattel executives?","Barbie decides to become human and return to the real world, and is accompanied by Gloria, her husband, and Sasha to her first gynecologist appointment."
What does the spirit of Ruth Handler tell Barbie?,The spirit of Ruth Handler tells Barbie that her story has no set ending and her ever-evolving history surpasses her roots.
What happens to Barbie during the dance party?,"She develops bad breath, cellulite, and flat feet"
What is Barbie's affliction and how can she cure it?,She must find the child playing with her in the real world to cure her afflictions
What does Sasha criticize Barbie for?,Encouraging unrealistic beauty standards
What does Gloria tell Barbie about society's expectations of women?,That they are conflicting and can be damaging
What happens to the Kens when Barbie arrives at Barbieland?,They are indoctrinated into submissive roles and the Barbies regain power
What is the name of the teenage girl who Barbie's owner?,The name of the teenage girl who Barbie's owner is Sasha.
"What did Gloria, Sasha's mother, do that caused Barbie's existential crisis?",Gloria inadvertently caused Barbie's existential crisis after playing with Sasha's old Barbie toys.
"Who does Barbie seek out for help when she develops bad breath, cellulite, and flat feet?","Barbie seeks out Weird Barbie, a disfigured doll, for help."
What do the Barbies do when Barbie becomes depressed after failing to restore their previous society?,"The Barbies resolve to rectify the faults of their previous society, emphasizing better treatment of the Kens and all outcasts."
What does Barbie decide to do at the end of the movie?,"Barbie decides to become human and return to the real world and is bidden goodbye by the Barbies, Kens, and Mattel executives."
Find the names of the actors who play Barbie and Ken in the movie.,Margot Robbie as Barbie and Ryan Gosling as Ken.
List the variations of Barbie and the actresses who play them.,"Issa Rae as President Barbie, Kate McKinnon as Weird Barbie, Alexandra Shipp as Writer Barbie, Emma Mackey as Physicist Barbie, Hari Nef as Dr. Barbie, Sharon Rooney as Lawyer Barbie, Ana Cruz Kayne as Judge Barbie, Ritu Arya as Journalist Barbie, Dua Lipa as Mermaid Barbie, Nicola Coughlan as Diplomat Barbie."
How many actors played Barbie in the movie?,Barbie was played by 11 different actors.
Who played the role of Ken in the movie?,Ryan Gosling played the role of Ken.
Who played the role of President Barbie?,Issa Rae played the role of President Barbie.
Who played the role of Weird Barbie?,Kate McKinnon played the role of Weird Barbie.
Who played the role of Physicist Barbie?,Emma Mackey played the role of Physicist Barbie.
1. Find Margot Robbie's role and location at the San Diego Comic Con International in 2016.,"Margot Robbie portrayed a character at the 2016 San Diego Comic Con International in San Diego, California."
2. Find Ryan Gosling's role and location at the San Diego Comic Con International in 2017.,"Ryan Gosling portrayed a character at the 2017 San Diego Comic Con International in San Diego, California."
3. Find the main characters and their roles in the movie Barbie.,Margot Robbie stars as Barbie and Ryan Gosling stars as Ken in the movie Barbie.
What is the name of the actress who portrays Barbie in the movie?,Margot Robbie
Who plays Ken in the movie?,Ryan Gosling
What is the main variation of Barbie played by Issa Rae?,President Barbie
Name one actor who plays a variation of Ken in the movie.,John Cena
"Who plays the role of Ruth Handler, the co-founder of Mattel?",Rhea Perlman
Identify the main cast members who portray Barbie and Ken in the movie 'Barbie'.,Margot Robbie and Ryan Gosling
List the different variations of Barbie played by different actors and actresses.,"President Barbie, Weird Barbie, Writer Barbie, Physicist Barbie, Dr. Barbie, Lawyer Barbie, Judge Barbie, Journalist Barbie, Mermaid Barbie, Diplomat Barbie"
List the different variations of Ken played by different actors and actresses.,"Tourist Ken/Rival Ken, Basketball Ken, Artist Ken, Stereotypical Ken, Kenmaid, a merman Ken"
"Identify the actor who plays Gloria, a Mattel employee who helps Barbie in the real world.",America Ferrera
Identify the actress who plays the narrator in the movie 'Barbie'.,Helen Mirren
Find the characters who play Barbie and Ken in the movie 'Barbie'.,Margot Robbie and Ryan Gosling.
Identify the different versions of Barbie played by different actors.,"Issa Rae as President Barbie, Kate McKinnon as Weird Barbie, Alexandra Shipp as Writer Barbie, Emma Mackey as Physicist Barbie, Hari Nef as Dr. Barbie, Sharon Rooney as Lawyer Barbie, Ana Cruz Kayne as Judge Barbie, Ritu Arya as Journalist Barbie, Dua Lipa as Mermaid Barbie, and Nicola Coughlan as Diplomat Barbie."
List the actors who play different versions of Ken in the movie 'Barbie'.,"Simu Liu as Tourist Ken/""Rival Ken"", Kingsley Ben-Adir as Basketball Ken, Ncuti Gatwa as Artist Ken, Scott Evans as Stereotypical Ken, and John Cena as Kenmaid."
Who is the narrator of the movie?,Helen Mirren
Who plays the character Ken?,Ryan Gosling
Which character is portrayed by Dua Lipa?,Mermaid Barbie
Who plays the role of Barbie as a Doctor?,Hari Nef
Who is the CEO of Mattel in the movie?,Will Ferrell
Find the names of all the actors who played Barbie or Ken in the movie.,"The actors who played Barbie were Margot Robbie, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, Nicola Coughlan, and America Ferrera. The actors who played Ken were Ryan Gosling, Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Scott Evans, John Cena, Ariana Greenblatt, and Michael Cera."
Find the names of the characters played by Margot Robbie and Ryan Gosling in the movie.,Margot Robbie played Barbie and Ryan Gosling played Ken.
"Find the name of the actress who played Gloria, a Mattel employee who helps Barbie in the real world.",America Ferrera played Gloria.
Find the names of the actors who played the narrator and the CEO of Mattel in the movie.,Helen Mirren played the narrator and Will Ferrell played the CEO of Mattel.
"How many actors were part of the ""Barbie"" movie cast?",There are 43 actors in total.
Who plays the role of Barbie in the movie?,Margot Robbie portrays Barbie.
What is the occupation of Issa Rae's character in the movie?,Issa Rae plays President Barbie.
What is the name of the Mattel employee who helps Barbie?,"America Ferrera portrays Gloria, the Mattel employee."
Who narrates the Barbie movie?,Helen Mirren is the narrator of the movie.
Find the movie title,Barbie
Find the year of the San Diego Comic Con International for the first actor,2016
Find the character name of the first actor,Margot Robbie
Find the occupation of the first actor,actor
Find the character name of the first variation of Ken,Tourist Ken/Rival Ken
Find the names of the actors/actresses who portray Barbie and Ken.,Margot Robbie and Ryan Gosling.
Find the names of the actors/actresses who play the main variations of Barbie.,"Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, and Nicola Coughlan."
Find the names of the actors/actresses who play the main variations of Ken.,"Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Scott Evans, John Cena, America Ferrera, Ariana Greenblatt, Rhea Perlman, Helen Mirren, Will Ferrell, Michael Cera, Connor Swindells, Jamie Demetriou, Emerald Fennell, Asim Chaudhry, Ray Fearon, Erica Ford, Hannah Khalique-Brown, Mette Narrative, Marisa Abela, Lucy Boynton, Rob Brydon, Tom Stourton, Ann Roth, Annie Mumolo, Lauren Holt, and Ryan Piers Williams."
Find Margot Robbie's cast information,"Margot Robbie as Barbie, often referred to as ""Stereotypical Barbie""[10][11]"
Find Ryan Gosling's cast information,"Ryan Gosling as Ken, often referred to as ""Beach Ken""[18]"
Find the main variations of Barbie played by different actors,"Issa Rae as President Barbie[12][13], Kate McKinnon as Weird Barbie[14][13], Alexandra Shipp as Writer Barbie[15][13], Emma Mackey as Physicist Barbie[16][13], Hari Nef as Dr. Barbie[13], Sharon Rooney as Lawyer Barbie[12], Ana Cruz Kayne as Judge Barbie[12][13], Ritu Arya as Journalist Barbie[12][13], Dua Lipa as Mermaid Barbie[17][13], Nicola Coughlan as Diplomat Barbie[12][13]"
Who portrays the character Barbie in the movie?,Margot Robbie and Ryan Gosling.
What are the main variations of Barbie played by Issa Rae?,President Barbie.
Who portrays the character Ken in the movie?,Ryan Gosling.
What are the main variations of Ken played by Simu Liu?,Tourist Ken or Rival Ken.
"Who plays the character Gloria, a Mattel employee who helps Barbie in the real world?",America Ferrera.
How many actors played Barbie in the movie?,13
What is Margot Robbie's role in the movie?,Barbie
Who plays Ken in the movie?,Ryan Gosling
What is the name of the actress who plays Ruth Handler?,Rhea Perlman
Who plays the narrator in the movie?,Helen Mirren
Find the names of the actors who portrayed Barbie and Ken in the movie 'Barbie'.,Margot Robbie and Ryan Gosling.
Look for the actors who played variations of Barbie in the movie 'Barbie'.,"Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, and Nicola Coughlan."
Identify the actor who played Ken in the movie 'Barbie'.,Ryan Gosling.
Find the names of the actors who played variations of Ken in the movie 'Barbie'.,"Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Scott Evans, and John Cena."
Who portrayed Barbie and Ken in the movie?,Margot Robbie and Ryan Gosling.
Who played President Barbie and Lawyer Barbie in the movie?,Issa Rae played President Barbie while Sharon Rooney played Lawyer Barbie.
"Who played Kenmaid, a merman Ken, in the movie?",John Cena played Kenmaid.
Who played the narrator and CEO of Mattel in the movie?,Helen Mirren played the narrator and Will Ferrell played the CEO of Mattel.
Who played Anxiety Mom and Time Mom in the movie?,Annie Mumolo played Anxiety Mom and Lauren Holt played Time Mom.
Who plays Barbie in the movie?,Margot Robbie
Who plays Ken in the movie?,Ryan Gosling
Who plays President Barbie?,Issa Rae
Who plays Physicist Barbie?,Emma Mackey
Who is the narrator of the movie?,Helen Mirren
How many actors played Barbie in the movie?,Ten actors played Barbie in the movie.
What was the name of the actress who played the role of President Barbie?,Issa Rae played the role of President Barbie.
"Who played the role of Gloria, a Mattel employee who helps Barbie in the real world?",America Ferrera played the role of Gloria.
What role did Ryan Gosling play in the movie?,"Ryan Gosling played Ken, often referred to as 'Beach Ken'."
Who was the narrator of the movie?,Helen Mirren was the narrator of the movie.
List the main cast members of the movie,"The main cast members of the movie ""Barbie"" are Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, Nicola Coughlan, Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Scott Evans, John Cena, America Ferrera, Ariana Greenblatt, Rhea Perlman, Helen Mirren, Will Ferrell, Michael Cera, Connor Swindells, Jamie Demetriou, Emerald Fennell, Asim Chaudhry, Ray Fearon, Erica Ford, Hannah Khalique-Brown, Mette Narrative, Marisa Abela, Lucy Boynton, Rob Brydon, Tom Stourton, Ann Roth, Annie Mumolo, Lauren Holt, and Ryan Piers Williams."
How many actors portray the main characters Barbie and Ken?,"Two actors, Margot Robbie and Ryan Gosling, portray Barbie and Ken in the movie."
What variations of Barbie are played by the cast members?,"Some of the variations of Barbie played by the cast members include President Barbie, Weird Barbie, Writer Barbie, Physicist Barbie, Dr. Barbie, Lawyer Barbie, Judge Barbie, Journalist Barbie, Mermaid Barbie, and Diplomat Barbie."
Who plays the character of Ken in the movie?,"Ryan Gosling plays the character of Ken, also known as 'Beach Ken' in the movie."
"Who plays the character of Kenmaid, a merman version of Ken?","John Cena plays the character of Kenmaid, a merman version of Ken in the movie."
"Which actor plays the role of Barbie's on-screen friend, Gloria?","America Ferrera plays the role of Gloria, a Mattel employee who helps Barbie in the real world."
